ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
FR;Vars;44;35;15;N;6;39;11;E;2575;X;D
IE;DUBLIN;53;25;48;N;6;14;38;W;68;C;S
MD;Shtefan-Vode, MRL-5;46;38;43;N;29;37;56;E;190;S;S
AU;Willis Island;16;17;16;S;149;57;54;E;9;C;S
AU;Namoi;31;1;26;S;150;11;27;E;695;S;S
AU;Mount Isa Telstra Hill;20;42;41;S;139;33;19;E;501;S;S
AU;Tennant Creek;19;38;32;S;134;10;59;E;375;C;S
AU;Warruwi;11;38;55;S;133;22;48;E;19;C;S
AU;Emerald;23;32;59;S;148;14;21;E;187;S;S
CH;Plaine Morte;46;22;14;N;7;29;12;E;2937;C;D
TR;Mobile-X;36;44;48;N;37;7;5;E;936;X;D
AU;Sydney Terrey Hills;33;42;3;S;151;12;34;E;199;S;D
NO;Berlevåg;70;30;3;N;29;0;43;E;454;C;D
X2;TestRadarDummy2;30;30;3;N;20;20;20;W;-999;;S
X6;Pula Airport;55;0;0;N;13;0;0;E;-999;;S
X3;Saskatoon Airport;52;10;0;N;106;42;0;W;400;S;D
X7;Juan Santamaría International;9;58;48;N;9;58;48;E;-999;;S
RU;Kuba-Taba, MRL-5;43;48;59;N;43;24;30;E;692;S;S
NZ;Kaeo Northland;35;4;50;S;173;48;19;E;383;C;D
IS;Fljótsdalsheiði;65;1;40;N;15;2;17;W;693;C;S
IS;Huginn Mobil Radar;63;46;32;N;19;59;22;W;-999;X;D
IS;Muninn Mobil Radar;63;46;6;N;17;43;34;W;-999;X;D
TR;Bursa;40;32;18;N;29;54;12;E;1217;C;D
TR;Karaman;37;23;32;N;33;8;23;E;2230;C;D
TR;Afyonkarahisar;38;24;6;N;30;25;9;E;2247;C;D
TR;Gaziantep;37;8;14;N;37;8;14;E;1456;C;D
TR;?anl?urfa;37;43;0;N;39;49;44;E;1922;C;D
TR;Sivas;39;28;33;N;36;3;46;E;2320;C;D
TR;Erzurum;40;9;37;N;41;33;24;E;3120;C;D
HK;Brothers Point;22;21;31;N;114;1;16;E;78;C;S
VN;Dong Ha;16;48;0;N;107;5;0;E;70;C;S
VN;Viet Tri;21;28;0;N;105;25;0;E;200;C;S
